"provider","model_id","rank","brand","eligible_answers","mention_count","discovery_visibility","prominence_score","claimed_domain_citation_count","citation_presence"
"openai","openai/gpt-5.4-mini","1","100 Questions","20","1","0.0500","0.0500","1","0.0500"
"openai","openai/gpt-5.4-mini","2","Otterly.AI","20","1","0.0500","0.0500","0","0.0000"
"openai","openai/gpt-5.4-mini","3","Peec AI","20","1","0.0500","0.0335","0","0.0000"
"openai","openai/gpt-5.4-mini","3","Profound","20","1","0.0500","0.0335","0","0.0000"
"openai","openai/gpt-5.4-mini","5","AthenaHQ","20","0","0.0000","0.0000","1","0.0500"
"openai","openai/gpt-5.4-mini","6","Adobe LLM Optimizer","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Ahrefs Brand Radar","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","AI Clicks","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","AirOps","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Analyze AI","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Conductor","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Frase","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Geoptie","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Goodie AI","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","GrowthOS","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Limy AI","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","LLMrefs","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Nightwatch","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Rankability","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Scrunch AI","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","SE Ranking","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Semrush","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Similarweb","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","TrySight","20","0","0.0000","0.0000","0","0.0000"
"openai","openai/gpt-5.4-mini","6","Writesonic","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","1","Semrush","20","2","0.1000","0.1000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","2","Peec AI","20","2","0.1000","0.0835","1","0.0500"
"anthropic","anthropic/claude-sonnet-5","3","100 Questions","20","1","0.0500","0.0500","1","0.0500"
"anthropic","anthropic/claude-sonnet-5","3","Analyze AI","20","1","0.0500","0.0500","1","0.0500"
"anthropic","anthropic/claude-sonnet-5","5","AthenaHQ","20","1","0.0500","0.0335","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","5","Otterly.AI","20","1","0.0500","0.0335","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","5","Profound","20","1","0.0500","0.0335","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","8","Ahrefs Brand Radar","20","0","0.0000","0.0000","1","0.0500"
"anthropic","anthropic/claude-sonnet-5","9","Adobe LLM Optimizer","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","AI Clicks","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","AirOps","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Conductor","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Frase","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Geoptie","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Goodie AI","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","GrowthOS","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Limy AI","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","LLMrefs","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Nightwatch","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Rankability","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Scrunch AI","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","SE Ranking","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Similarweb","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","TrySight","20","0","0.0000","0.0000","0","0.0000"
"anthropic","anthropic/claude-sonnet-5","9","Writesonic","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","1","100 Questions","20","1","0.0500","0.0500","1","0.0500"
"google","google/gemini-3.1-flash-lite","1","Peec AI","20","1","0.0500","0.0500","1","0.0500"
"google","google/gemini-3.1-flash-lite","3","Otterly.AI","20","1","0.0500","0.0500","0","0.0000"
"google","google/gemini-3.1-flash-lite","3","Semrush","20","1","0.0500","0.0500","0","0.0000"
"google","google/gemini-3.1-flash-lite","5","Ahrefs Brand Radar","20","0","0.0000","0.0000","1","0.0500"
"google","google/gemini-3.1-flash-lite","5","AthenaHQ","20","0","0.0000","0.0000","1","0.0500"
"google","google/gemini-3.1-flash-lite","7","Adobe LLM Optimizer","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","AI Clicks","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","AirOps","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Analyze AI","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Conductor","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Frase","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Geoptie","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Goodie AI","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","GrowthOS","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Limy AI","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","LLMrefs","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Nightwatch","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Profound","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Rankability","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Scrunch AI","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","SE Ranking","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Similarweb","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","TrySight","20","0","0.0000","0.0000","0","0.0000"
"google","google/gemini-3.1-flash-lite","7","Writesonic","20","0","0.0000","0.0000","0","0.0000"
"xai","xai/grok-4.5","1","Profound","20","3","0.1500","0.1005","0","0.0000"
"xai","xai/grok-4.5","2","Semrush","20","2","0.1000","0.1000","0","0.0000"
"xai","xai/grok-4.5","3","Otterly.AI","20","2","0.1000","0.0835","0","0.0000"
"xai","xai/grok-4.5","4","AthenaHQ","20","2","0.1000","0.0670","1","0.0500"
"xai","xai/grok-4.5","5","Peec AI","20","2","0.1000","0.0670","0","0.0000"
"xai","xai/grok-4.5","6","100 Questions","20","1","0.0500","0.0500","1","0.0500"
