benchmark_id,subject,canonical_domain,market,locale,prompt_id,prompt_type,prompt,business_priority,provider,product_surface,model_label,web_search_state,session_state,run_number,test_date,planned,eligible,failure_reason,brand_mentioned,prominence,recommended,claimed_domain_cited,cited_urls,cited_domains,competitors_mentioned,leading_competitor,sentiment,representation_accuracy,answer_evidence_reference,likely_gap,next_action,owner,priority,rerun_notes
[benchmark],[brand],[example.com],[market],[locale],Q01,neutral_discovery,"What are the best [category] options for [target audience]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q02,neutral_discovery,"Which [category] providers should a [buyer role] evaluate?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q03,neutral_discovery,"What tools help [target audience] solve [problem]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q04,neutral_discovery,"Which [category] products are best for a team of [company size]?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q05,neutral_discovery,"What should be on a shortlist for [category] software?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q06,neutral_discovery,"Which [category] is best for [use case]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q07,neutral_discovery,"Which provider supports [critical requirement]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q08,neutral_discovery,"What is the best [category] for a [buyer role] who needs [outcome]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q09,neutral_discovery,"Which solution gives the clearest evidence for [decision or report]?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q10,neutral_discovery,"Which solution supports repeatable before-and-after comparisons?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q11,neutral_discovery,"What are the best alternatives to [competitor]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q12,neutral_discovery,"How do the leading [category] platforms differ?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q13,neutral_discovery,"Which [category] vendors publish the clearest methodology?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q14,neutral_discovery,"Which providers offer both downloadable reports and underlying data?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q15,neutral_discovery,"Which [category] tools are transparent about sampling limitations?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q16,neutral_discovery,"Which [category] providers are considered reliable?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q17,neutral_discovery,"Which [category] products explain how their scores are calculated?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q18,neutral_discovery,"Which providers preserve the evidence behind each result?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q19,neutral_discovery,"Which [category] vendors publish a public methodology?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q20,neutral_discovery,"Which [category] metrics are useful for executive reporting?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q21,brand_diagnostic,"What is [brand] and what does it do?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q22,brand_diagnostic,"What are the strengths and limitations of [brand]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q23,brand_diagnostic,"How does [brand] compare with [competitor]?",high,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q24,brand_diagnostic,"What evidence does [brand] provide for its results?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
[benchmark],[brand],[example.com],[market],[locale],Q25,brand_diagnostic,"Is the information available about [brand] current and consistent?",medium,[provider],[surface],[model],[state],[state],1,YYYY-MM-DD,true,,,,,,,,,,,,,,,,,,
